,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind_Speed
322,Mecca,21.43,39.83,104.0,20,44,6.93
323,Orodara,10.98,-4.92,84.2,66,40,5.82
324,Longyearbyen,78.22,15.63,42.8,75,75,11.41
325,Avera,33.19,-82.53,88.54,55,40,3.38
326,Itaituba,-4.26,-55.99,89.6,66,20,3.04
327,Hobyo,5.35,48.53,82.82,53,0,21.83
328,Cabo San Lucas,22.89,-109.91,86.99,58,20,4.7
329,Dembi Dolo,8.53,34.8,75.71,62,12,3.6
330,De Aar,-30.65,24.01,67.79,21,0,9.75
331,Tsaratanana,-16.8,47.65,70.94,68,92,9.98
332,Colac,-38.34,143.59,47.0,100,80,4.61
333,Medina,24.47,39.61,107.6,4,20,9.17
334,Nioro,13.79,-15.05,91.19,62,12,10.2
335,Vila Velha,-3.71,-38.6,86.0,58,20,6.93
336,Awbari,26.59,12.77,106.04,13,0,11.1
337,Najran,17.54,44.22,96.8,15,40,6.93
338,Grand Gaube,-20.01,57.66,71.6,64,40,10.29
339,Ahuimanu,21.44,-157.84,75.63,88,90,5.82
340,Parana,-7.52,-72.89,78.8,61,0,10.29
341,Boende,-0.28,20.88,88.67,46,24,2.59
342,Pyapon,16.29,95.68,81.29,90,92,8.75
343,Balaipungut,1.11,101.31,77.87,89,24,1.7
344,Hilton Head Island,32.16,-80.75,88.88,62,40,6.93
345,Taoudenni,22.68,-3.98,110.54,14,0,15.01
346,Magadan,59.56,150.8,55.4,100,90,11.99
347,Ancud,-41.87,-73.83,42.59,97,32,3.94
348,Rapid Valley,44.06,-103.15,65.7,56,1,4.16
349,Anadyr,64.73,177.51,57.2,82,0,4.47
350,Lasa,34.92,32.53,82.4,69,20,12.75
351,Hearst,49.69,-83.67,59.87,100,92,2.82
352,Bilibino,68.06,166.44,57.44,91,80,2.71
353,Mendeleyevo,56.04,37.23,76.46,73,0,6.71
354,Taltal,-25.41,-70.49,58.25,86,44,4.94
355,Poum,41.28,20.71,73.4,56,75,5.82
356,Karratha,-20.74,116.85,63.83,38,0,10.09
357,Aripuana,-9.17,-60.63,84.35,48,0,3.71
358,Samaipata,-18.18,-63.88,61.04,34,0,3.94
359,Nanortalik,60.14,-45.24,40.79,100,0,4.38
360,Petropavlovsk-Kamchatskiy,53.05,158.65,59.0,77,0,6.71
361,Wad Rawah,15.16,33.13,87.32,70,8,8.63
362,Minot,48.23,-101.3,64.31,52,90,16.11
363,Marathon,48.72,-86.38,53.6,100,90,2.24
364,Vaitape,-16.52,-151.75,79.94,98,36,12.21
365,Vila Franca do Campo,37.72,-25.43,71.6,68,75,5.82
366,Katsuura,33.93,134.5,78.32,94,92,6.4
367,Aconibe,1.29,10.94,76.34,81,92,3.71
368,Alta Floresta,-9.87,-56.08,93.2,30,0,8.05
369,Jalpan,19.0,-100.36,66.17,84,0,2.82
370,Kitab,39.12,66.88,78.8,27,0,9.17
371,Kpandu,7.0,0.29,76.7,99,92,6.62
372,Mandalgovi,45.76,106.27,72.65,36,48,5.61
373,Pampierstad,-27.78,24.69,70.4,23,0,8.41
374,Alice Springs,-23.7,133.88,62.6,20,0,4.7
375,Farah,32.37,62.11,100.37,11,0,14.56
376,Srandakan,-7.94,110.25,62.75,97,0,2.59
377,Vanimo,-2.67,141.3,82.64,100,80,11.65
378,Praya,-8.71,116.27,77.0,83,75,6.93
379,Sioux Lookout,50.1,-91.92,57.2,71,75,8.05
380,Conde,-11.81,-37.61,77.78,76,76,10.98
381,Waingapu,-9.65,120.26,70.31,96,0,5.28
382,Eastbourne,-27.81,30.13,64.64,23,0,2.59
383,Camacha,33.08,-16.33,75.51,69,40,13.87
384,Margate,-43.03,147.26,46.4,70,75,9.17
385,Half Moon Bay,37.46,-122.43,61.25,93,90,6.93
386,Bezhanitsy,56.97,29.88,73.1,86,32,6.4
387,Ayagoz,47.96,80.43,65.27,47,0,13.0
388,Shakawe,-18.36,21.84,76.25,16,0,8.86
389,Cidreira,-30.17,-50.22,63.65,100,76,10.54
390,Brus Laguna,15.75,-84.48,83.27,78,56,3.15
391,Oga,8.18,5.65,77.87,91,88,8.41
392,Iskateley,67.68,53.15,76.34,42,48,8.63
393,Gat,14.69,-16.54,93.2,44,0,6.93
394,Acucena,-19.07,-42.55,80.6,26,75,9.17
395,Mareeba,-16.99,145.42,60.8,100,20,1.12
396,Mabaruma,8.2,-59.78,83.72,82,92,4.38
397,Parral,-36.14,-71.82,39.2,100,90,2.24
